부스번호,업체명,특별관,카테고리,id,company_name_eng,homepage,company_description,products,products_description,category
B2206,(주)엠아이티,스마트홈키친,일반식품,591,M.I.T. LIMITED,www.mitltd.kr,"(주)엠아이티는 무역상사로 시작하여 현재 유럽에서 높은 입지를 자랑하는 가스 수출 전문기업으로 성장했습니다. 당사는 부탄가스와 휴대용 가스 기기를 비롯해 고객의 요구에 맞춘 품질 높은 제품을 유럽, 미주, 동남아 등 여러 국가에 수출하고 있습니다. 글로벌 시장에서의 신뢰를 바탕으로 지속 가능한 성장을 추구하고 있습니다.",토치,"조리용 토치는 주로 요리에서 사용되는 도구로, 강한 불꽃을 사용해 음식을 직접 구워내거나 캐러맬라이즈하는 데 활용된다. 휴대가 간편하고, 크림브륄레, 마시멜로우 구이, 고기 겉면을 바삭하게 만드는 등 다양한 요리에 사용되며, 빠르고 효율적으로 조리가 가능하다는 장점이 있다.","가정용 주방용품 (가정용 냄비/프라이팬, 조리도구류, 주방잡화, 주방 수납용품 외) "
B2101,농업회사법인 대곡친환경 합자회사,,일반식품,583,eco-frendly joint venture of agricultural corporation company,https://smartstore.naver.com/tteurak_rice,"30년 이상 쌀농사를 지어오며 키워온 안목으로 건강한 먹거리를 만들고 싶어 시작하게 된 자농의뜨락은 좋은재료, 깨끗한 시설에서 다양한 전통떡을 만듭니다.
아버지가 농사짓고 아들이 떡을 만들며 전통의 맛을 지키고자 노력합니다.",자농의뜨락 굳지않는 바람떡,"백미/쑥/자색고구마로 색을내어 3색에 앙금이 들어간 멥쌀 떡입니다. 굳지않는 떡으로 냉동보관 후 상온 해동하여 바로 섭취 가능하며 쉽게 굳어지지 않습니다.
냉동보관기준 소비기한은 제조일로부터 1년까지 입니다.","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
A4608,영양고추유통공사,,일반식품,580,YEONGYANG RED PEPPER TRADE CORPORATION,www.yyrptc.or.kr,"영양고추유통공사는 매년 영양군 관내 농가와 계약을 통해 100% 영양산 우수 홍고추만을 계약재배 및 수매하여 고춧가루 원료로 사용하고 있습니다. 이러한 사업을 통해 고추의 불합리한 유통구조를 개선하고, 영양군 농가소득 증대와 고추상품 고급화를 통해 소비자에게 안전한 먹거리를 제공하여, 최종적으로 생산자와 소비자 모두를 만족시킬 수 있는 공적사업을 하고 있습니다.",빛깔찬 고춧가루,"영양 농가와 계약재배를 통해 꼭지를 뺀 최상품의 홍고추를 세척, 절단하여 단시간 건조한 위생적 원료를 
바탕으로 만들어져, 맛과 향이 뛰어나며 색깔이 매우 곱고 선명한 대한민국 1% 명품 고춧가루입니다.","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
S1304,와인랩스,주류라운지,일반식품,579,WINELABS,www.winelabs.co.kr,"와인랩스는  경북 경산에 위치한 지역특산주 제조업체입니다. 지역에서 생산되는 농산물의 활용가치 확대와 지역자원을 활용한 특산주 산업의 성장을 위해 노력하고 있습니 다.
",디스틸,디스틸 그레이프는 MBA 품종의 레드와인을 두 번 증류하여 수겅한 프리미엄 증류주입니다.,"주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
B4706,국제유통,,일반식품,578,Gukje international,없음,수제육포판매 업체,꼬마루수제육포,"원물(치즈,고추,마늘)을 직접 넣어만든 수제육포","고메/스페셜티 (치즈/유제품, 시즈닝/소스류, 육가공/건조육, 견과류/건조과일, 파티푸드/선물세트, 프리미엄 푸드 브랜드 외)"
A7504,(주)자비스,,일반식품,574,"XAVIS.CO.,Ltd",www.xavis.co.kr,"XAVIS는 X-ray Automatic Vision System의 약자로서 X-ray와 Machine Vision, 그리고 공장자동화(FA) 장비개발에 다년간 경험을 축적한 개발 인력들이 모여 설립한 회사입니다. 귀사의 애로 공정에 대하여 검사 및 조립 공정을 자동화 함으로써 귀사의 품질 향상 및 품질 안정 확보, 그리고 인건비 절감 등의 효과를 제공해 드리고자 합니다.
*주요 사업 분야
-자동 X-ray 검사 장비 개발, 생산
-식품/제약 이물, 공포장 검사장비 개발
-전자 제품 생산 공정의 조립 자동화 및 공정의 검사 자동화 장비 개발
(휴대폰, LCD, 반도체, Digital TV, 베터리, 플립칩, PCB등)
-기계 제품 생산 공정의 검사 자동화 장비 개발
(NANO, OCT, 자동차, 피스톤, 휠, 다이캐스팅)
-공장자동화(FA) 장비의 Vision System 및 S/W 개발
-공장자동화(FA) 장비의 시스템 운영 S/W 개발",FSCAN-4280D,X-ray 식품이물검사장비 ,
S0902,농업회사법인 주식회사 네이처오다,,일반식품,581,"NATURE ODA Co.,Ltd.",www.natureoda.com,"네이처오다는 친환경 농축산물 기반의 식품 및 컨텐츠를 기획-생산-유통하는 기업입니다.                                                                                                                                                                                               
새로운 가치를 담은 제품을 개발하고 시장을 창출합니다.                                                                                                                                                                                                                                           
달칩은 유기농 쌀을 원료로 만든 스낵 브랜드로 친환경 쌀 소비를 위해 새로운 쌀 스낵 제품들을 선보이고 있습니다.",달칩 초코샌드,"유기농 쌀 스낵 브랜드 '달칩'의 대표상품!
유기농 쌀 원료의 라이스칩과 초콜릿의 조합으로 바삭 달콤 고소한 맛을 가진 스낵
귀여운 캐릭터 패지키와 함께 전국 학교급식은 물론 백화점, 대형마트에서도 만날 수 있습니다. ","간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
A7512,주식회사 모두모,,일반식품,570,MODOOMO INC.,https://modoomo.com/ucan/,(주)모두모 유캔캔시머에서는 협업하는 사고를 장려하여 배달 및 포장을 빠르고 안전하게 그리고 혁신적인 노동력을 보장함으로써 가장 원할하게 신뢰를 줄 수 있는 포장 서비스를 제공하는 40여년 전통의 일회용품 유통 회사입니다.,유캔캔시머,음료 및 기타 물품을 완벽하게 밀봉할 수 있는 기계로써 캔이 회전하지 않아 내용물을 담은 그대로 밀봉할 수 있음.,"식품 기계/설비 (식품제조/가공기계, 식품포장/라벨기계, 스마트 위생/안전설비 외)"
B4704,세컨드셰프,,일반식품,600,Second Chef,secondchef.co.kr,"Second Chef 는 기존 대량 판매 목적의 저가 B2B 식 자재 시장에서 벗어나 각 분야의 최고의 셰 프님들과 F&B 시장을 진도 하는 기술적 식 자재를 개발, 판매하고 더 나아가 플랫폼을 통해 매장의 창업, 운영에 공간을 제공하고 오픈 마켓을 이용해 더 다양하고 전문화된 식 자재를 판매 하고자 한다.
또한, 전세계적인 K-FOOD의 열풍에 힘입어 해외 F&B 시장에 전문화된 K-FOOD 소스와 식 자재를 판매 하고 역으로 해외 마켓과 연계하여 국내에 다양한 해외 식 자재를 판매 하고자 한다.
",숙성회와 초밥을  더 맛있고 신선하게 보관하는 소스,숙성 회 필렛과 초밥 네 타에 일정량 도포함으로써 신선함을 유지하고 감칠맛과 해산물 풍미를 증진 시켜 맛을 더 올리는 소스,"식품원료/첨가물 (감미료, 기능성 원료, 영양 강화제, 향료 외)"
A1106,아미트레이딩,,일반식품,595,Ami trading,http://amitrading.co.kr/,"아미트레이딩은 2006년 부터 제과 산업용 원료 수입 및 제조 가공, 그리고 제과 및 식품류 완제품의 수입 및 유통하는 수입업체입니다. 
스페인, 인도네시아, 베트남 등 해외 과자류 펠렛을 수입하여 국낸 업체에 납품하고 있습니다. 
이탈리아, 프랑스, 스페인 등 여러 국가의 올리브유, 발사믹, 냉동 디저트, 냉동 페스츄리, 냉동 피자, 냉동 파스타 등 식품류 완제품을 납품하고 있습니다.

","이탈리아 냉동 제품(고로케, 튀김 제품, 피자, 생지 등)","이탈리아에서 만들어, 급속냉동한 냉동 튀김, 피자, 생지 등 제품입니다. 급속냉동으로 제품의 퀄리티, 맛 그리고 식감이 그대로 유지된 제품들입니다. 간단하게 에어프라이기, 전자레인지, 오븐 등 집에서도 조리해 먹기 좋은 제품들입니다.","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
A7601,토마텍주식회사,,일반식품,567,"TOMATEC CO., LTD",tomatec.co.kr,"토마텍주식회사는 지난 1995년 이래 바코드 관련 기술을 꾸준히 발전시켜 현재까지 국내 5000여 고객사에 바코드 관련 제품을 공급하였습니다. 해외 유명 바코드 관련 회사들과 협업하여 고객이 필요로 하는 제품을 공급하고, 자체 개발한 소프트웨어 및 고객 맞춤형 소프트웨어를 개발하여 제공하고 있습니다. 또한 고객의 요구에 부합하는 최상 품질의 라벨을 목표로, 당사가 직접 개발한 생산공정 전산관리 및 최첨단 설비로 자체 공장에서 일반 라벨 및 특수한 라벨을 유수한 기업들에 납품하고 있습니다.",칼라잉크젯라벨프린터,풀칼라 잉크젯 라벨 출력 프린터 입니다.,
B4305,(주)푸른가족,,일반식품,566,Green-Family.Inc,www.green-family.co.kr/,당사는 고령친화우수식품 등 전국 250여곳 이상의 요양기관에 영양죽을 공급하는 죽 전문회사입니다.,"즉석영양컵죽, 즉석스프, 간편영양죽","당사는 국내 유일의 독보적인 기술력과 품질력으로 전국 약 250여곳의 요양기관에 영양죽을 공급하는 국내 1위 회사로서, B2C 시장으로 진출하기 위하여 즉석영양컵죽, 즉석스프, 간편영양죽 시리즈를 출시하게 되었습니다.","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
B3601,블리스,,일반식품,562,VLEES,https://linktr.ee/vlees_biltong,프리미엄 남아공 수제 육포를 제조하는 블리스(VLEES) 입니다.,남아공 수제 육포 (빌통),와인 식초에 절인 후 200시간 이상 자연건조하여 만들어진 부드럽고 촉촉하고 영양성북 풍부한 고단배질 영양 육포,"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
B5710,칼로커트 주식회사,,일반식품,560,"kalokut co,.ltd",https://kalokut-k.com/,"칼로커트는 2012년 런칭 후 현재까지 꾸준하게 사랑받고 있는 국내브랜드입니다.
칼로커트는 굶지 않는 다이어트를 도입한 건강한 다이어트를 지향합니다.
건강한 삶을 위한 노력을 누구나 쉽고 편하게 할 수 있도록 칼로커트는 지금도 노력하고 있습니다.",칼로커트,2012년 출시 이후 굶지 않는 다이어트 건강기능식품으로 인기를 얻었으며 전세계 수출 글로벌 브랜드로 건강한 다이어트의 시작으로 꾸준히 소비자들에게 사랑받고 있습니다~,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
A9115,(주)바이오리듬,,일반식품,558,(주)바이오리듬,allprobiotics.com,"미국 건강잡지 5대 건강식품으로 선정된 “김치” 그 속에 숨은 보물 “
김치유산균”을 첨단 세포공학기술과 생명공학 기술로 건강기능식품을 
만들어갑니다.
주식회사 바이오리듬은 벤처기업으로서 2008년도부터 한국의 
대표적인 식품인 “김치”에다 “바이오”의 옷을 덧입힌 김치유산균을 
특수 마이크로캡슐화시킨 특허제품을 제조하고 있습니다.
독보적인 기술로 장내 기능성을 향상시킨 창조성의 아이템이며, 
수천 년 동안 한국의 선조들의 얼과 숨결이 깃들어 있는 김치 속에 
들어있는 “김치유산균”은 온 인류에게 건강기능식품으로서 영원하리라 
확신합니다.
기업부설 의생명공학연구소는 김치유산균과 인체건강 관련 다양한 
프로젝트를 지역사회 협력 하에 각 연구기관과 각 대학들과의 
연구.개발 네트웍를 형성하여 함께 수행하며 바이오 생명공학 분야의 
글로벌 프로젝트화에 온 심혈을 기울이고 있습니다.
 2011년 우수바이오제품 생산을 인증받아 생산중이며 FDA공장등록, 
FDA시설등록, FDA제품등록 및 안정성과 영양평가를 받아 제품출시 
및 생산가동 중이며, 2012년 특허청장상 및 기술혁신상을 수상한 
제품들입니다.
바이오리듬의 모든 제품은 우수건강기능식품제조(GMP) 시설에서 
고품질과 고품격으로 제조합니다.
아토피/알러지/두드러기/습진/아낙필락시스/건선/비염/천식/
지루성피부염/여드름/과민성대장증후군/모낭염/변비/장염/크론병/
베제트병/주근깨/기미/혀 백태 등 빠르고 완전한 치료를 추구합니다","락k-1, 김치생유산균, 김치유산균키즈, 황금구슬, 락k-1피부면역유산균","1.제품기능 : 장건강 확보를 통해 피부 건강을 확실하게 잡아주는 탁월한 제품으로써 효능보장제를 실시할 만큼 기능에 대한 자부심이 큰 제품들이다.
장내 유익균의 증식, 유해균의 억제, 배변활동의 원활함을 유도하고 장내 흡수 기능과 정상적인 세포분열을 통해 면역 기능에 도움이 되게 제조하고 또 재검토를 하였으며 현대인의 면역성 피부질환을 확실하게 바르게 잡아주는 제품이다.
대표적으로 아토피, 알레르기성 피부염, 여드름, 모낭염, 지루성피부염, 두드러기, 한포진, 안면홍조, 대상포진, 모공각화증, 기미, 주근깨 등 각종 여러 면역성 피부질환들이 자연스럽게 개선이 되고 비염, 장염, 설사, 변비, 복통 등이 짧은 시간 내에 확실한 가능보장이 된다.
2. 활용분야 : 다양한 일반식품에도 같이 함유되어 사용할 수 있으며 남녀노소 나이에 제한을 받지 않고 누구나 섭취할 수 있는 건강기능식품이다.
3. 적용기술 : 특허기술인 3중 마이크로캡슐화 기술이 이용되어 내산성, 내담즙성에 강하여 위산이나 담즙산에 녹지 않고 안전하게 장 내로 들어와 강력한 증식성을 보여 면역체계를 활성화시키고 기능은 속효성으로 나타나게 된다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
